,,,WEEK 42,,,,,PRODUTTIVITA' BUDGET,"75,00€",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,Sabato,Domenica,,,Produttività Week,,,
,13/10/2025,14/10/2025,15/10/2025,16/10/2025,17/10/2025,18/10/2025,19/10/2025,,,,,,
Budget pranzo,"€ 2.700,00","€ 2.000,00","€ 2.100,00","€ 3.400,00","€ 3.600,00","€ 4.000,00","€ 3.700,00","21.500,00€",,PRANZO,Budget,Real,
Real pranzo,"€ 1.800,00","€ 2.500,00","€ 2.800,00","€ 3.800,00","€ 4.100,00","€ 4.800,00","€ 1.800,00","21.600,00€",,,"75,00€",#REF!,#REF!
,"-33,33%","25,00%","33,33%","11,76%","13,89%","20,00%","-51,35%","0,47%",,,,,
Budget cena,"€ 2.800,00","€ 2.500,00","€ 2.800,00","€ 3.800,00","€ 4.100,00","€ 4.800,00","€ 1.800,00","0,00€",,,,,
Real cena,"1.800,00€","2.500,00€","€ 2.400,00","€ 3.000,00","€ 3.500,00","€ 4.000,00","€ 2.000,00","53.000,00€",,,,,
,"-35,71%","0,00%","-14,29%","-21,05%","-14,63%","-16,67%","11,11%",#ДЕЛ/0!,,CENA,Budget,Real,
,,,,,,,,,,,"75,00€",#REF!,#REF!
Budget day,"5.500,00€","4.500,00€","4.900,00€","7.200,00€","7.700,00€","8.800,00€","5.500,00€","0,00€",,,,,
Real day,"3.600,00€","5.000,00€","4.000,00€","6.000,00€","7.000,00€","6.000,00€","5.000,00€","0,00€",,,,,
Differenza,"-1.900,00€","500,00€","-900,00€","-1.200,00€","-700,00€","-2.800,00€","-500,00€","0,00%",,,,,
,"-34,55%","11,11%","-18,37%","-16,67%","-9,09%","-31,82%","-9,09%",#DIV/0!,,WEEK,Budget,Real,
,,,,,,,,,,,"75,00€",#REF!,#REF!
Ore lavorate,"93,25",#REF!,#REF!,,#REF!,,,#REF!,,,,,
Produttività,"3860,59%",#REF!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#ДЕЛ/0!,,,,,
,,,,,,,,,,,,,
,QUANTO DEVI FATTURARE,,"813,33","61.000,00€",,,,,,,,,
