,,Lunedì,,,,Martedì,,,,Mercoledì,,,,Giovedì,,,,Venerdì,,,,Sabato,,,,Domenica,,,,,,
,,13/10/2025,,,,14/10/2025,,,,15/10/2025,,,,16/10/2025,,,,17/10/2025,,,,18/10/2025,,,,19/10/2025,,,,,,
,,TURNO 1,,TURNO 2,,TURNO 1,,TURNO 2,,TURNO 1,,TURNO 2,,TURNO 1,,TURNO 2,,TURNO 1,,TURNO 1,,TURNO 1,,TURNO 2,,TURNO 1,,TURNO 2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARGIU,Tutti,11:00,18:00,18:00,00:00,11:00,18:00,18:00,00:00,11:00,18:00,18:00,00:00,11:00,18:00,18:00,00:00,11:00,18:00,18:00,00:00,11:00,18:00,18:00,00:00,11:00,18:00,18:00,00:00,1 per fascia,Operatore Sala,
BARSU,Tutti,10:30,18:00,18:00,01:00,10:30,18:00,18:00,01:00,10:30,18:00,18:00,01:00,10:30,18:00,18:00,01:00,10:30,18:00,18:00,01:00,10:30,18:00,18:00,01:00,10:30,18:00,18:00,01:00,1 per fascia,Operatore Sala,Codou fino alle 15:30 + 1 altro fino alle 18
ACCSU,Tutti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 per fascia,Manager,Solo manager
CDR,Tutti,12:00,18:00,20:00,01:00,12:00,18:00,20:00,01:00,12:00,18:00,20:00,01:00,12:00,18:00,20:00,01:00,12:00,18:00,20:00,01:00,12:00,18:00,20:00,01:00,12:00,18:00,20:00,01:00,2,Operatore Sala,
CDR_V,Venerdì,,,,,,,,,,,,,,,,,,,18:00,01:00,,,,,,,,,,,
CDR_S,Sabato,,,,,,,,,,,,,,,,,,,,,12:00,15:00,18:00,01:00,,,,,2 per fascia,Operatore Sala,Spezzato
CDR_D,Domenica,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,,,2,Operatore Sala,Pranzo
ACCGIU_V,Venerdì,,,,,,,,,,,,,,,,,,,18:00,00:00,,,,,,,,,1,Operatore Sala,Solo venerdì sera
ACCGIU:S,Sabato,,,,,,,,,,,,,,,,,,,,,12:00,15:00,18:00,00:00,,,,,1 per fascia,Operatore Sala,Spezzato
ACCGIU:_D,Domenica,,,,,,,,,,,,,,,,,,,,,,,,,12:00,18:00,,,1,Operatore Sala,Pranzo
B/S,Tutti,12:00,18:00,18:00,01:00,12:00,18:00,18:00,01:00,12:00,18:00,18:00,01:00,12:00,18:00,18:00,01:00,12:00,18:00,18:00,01:00,12:00,18:00,18:00,01:00,12:00,18:00,18:00,01:00,1,Operatore Sala,Solo venerdì sera
B/S_2,Tutti,,,,,13:00,15:00,21:00,01:00,13:00,15:00,21:00,01:00,13:00,15:00,21:00,01:00,13:00,15:00,21:00,02:00,13:00,15:00,21:00,02:00,13:00,15:00,21:00,01:00,,,
B/S_V,Venerdì,,,,,,,,,,,,,,,,,,,#REF!,#REF!,,,,,,,,,,,
B/S_S,Sabato,,,,,,,,,,,,,,,,,,,,,18:00,02:00,18:00,02:00,,,,,1 per fascia,Operatore Sala,Spezzato
B/S_D,Domenica,,,,,,,,,,,,,,,,,,,,,,,,,12:00,18:00,,,1,Operatore Sala,Pranzo
SCARICO,"Mercoledì, Sabato",,,,,,,,,08:30,10:30,,,,,,,,,,,08:30,10:30,,,,,,,2,Sala + Manager,Mamadou + un manager
PASS,,12:00,17:00,19:00,01:00,12:00,17:00,19:00,01:00,12:00,17:00,19:00,01:00,12:00,17:00,19:00,01:00,12:00,17:00,19:00,#REF!,12:00,17:00,19:00,01:00,12:00,17:00,19:00,01:00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pira,,12:00,18:00,18:00,23:00,12:00,18:00,18:00,23:00,12:00,18:00,18:00,23:00,12:00,18:00,18:00,23:00,12:00,18:00,18:00,00:00,12:00,18:00,18:00,00:00,12:00,18:00,18:00,23:00,,,
Burger,,10:30,15:00,17:00,23:00,10:30,15:00,17:00,23:00,08:30,10:30,17:00,23:00,10:30,15:00,17:00,23:00,10:30,18:00,18:00,00:00,08:30,10:30,18:00,00:00,10:30,18:00,18:00,23:00,,,
Fritti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolci/Ins,,12:00,15:00,17:00,23:00,12:00,15:00,17:00,23:00,12:00,15:00,17:00,23:00,12:00,15:00,17:00,23:00,12:00,18:00,18:00,00:00,12:00,18:00,18:00,00:00,12:00,18:00,18:00,23:00,,,
Preparazione,,10:30,!8:00,18:00,22:00,10:30,!8:00,18:00,22:00,08:30,10:30,18:00,22:00,10:30,!8:00,18:00,22:00,10:30,!8:00,18:00,22:00,08:30,10:30,18:00,22:00,10:30,!8:00,18:00,22:00,,,
Lavaggio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavaggio Cappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulizia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARICO_Cucina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
